sku,component_id,description,hts_code,origin_country,current_supplier,qty_per,unit_cost_usd
SKU-001,C-1001,Brake rotor (steel),870830,CN,SUP-CN-01,1,12.5
SKU-001,C-1002,Mounting bolts,731815,CN,SUP-CN-02,4,0.1
SKU-002,C-2001,Caliper housing,870830,VN,SUP-VN-01,1,9.8
SKU-002,C-2002,Hydraulic hose,400931,CN,SUP-CN-03,1,2.4
SKU-003,C-3001,Sensor harness,854430,CN,SUP-CN-04,1,3.1
SKU-003,C-3002,Bracket assembly,870830,CN,SUP-CN-01,1,4.2
SKU-004,C-4001,Engine block,840991,CN,SUP-CN-05,1,245.0
SKU-004,C-4002,Piston rings,840991,DE,SUP-DE-01,4,8.5
SKU-004,C-4003,Connecting rod,840991,CN,SUP-CN-06,4,12.3
SKU-005,C-5001,Transmission housing,870840,MX,SUP-MX-03,1,89.2
SKU-005,C-5002,Gear set,870840,CN,SUP-CN-07,1,34.8
SKU-005,C-5003,Clutch disc,870840,VN,SUP-VN-02,1,18.9
SKU-006,C-6001,Steering wheel,870894,CN,SUP-CN-08,1,15.6
SKU-006,C-6002,Steering column,870894,MX,SUP-MX-04,1,28.4
SKU-007,C-7001,Windshield glass,700711,CN,SUP-CN-09,1,45.2
SKU-007,C-7002,Door glass,700711,CN,SUP-CN-09,4,12.8
SKU-008,C-8001,Seat frame,940120,CN,SUP-CN-10,2,22.5
SKU-008,C-8002,Seat foam,940120,MX,SUP-MX-05,2,8.9
SKU-009,C-9001,Battery pack,850760,CN,SUP-CN-11,1,125.0
SKU-009,C-9002,Battery management system,854370,CN,SUP-CN-12,1,45.3
SKU-010,C-10001,Tire (alloy),401110,CN,SUP-CN-13,4,35.2
SKU-010,C-10002,Wheel rim,870870,CN,SUP-CN-14,4,28.6
